



Epoch: [32/2000] Loss: 3.5356 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [33/2000] Loss: 3.5309 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.06it/s]
Epoch: [33/2000] Loss: 3.5306 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [34/2000] Loss: 3.5277 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.06it/s]
Epoch: [34/2000] Loss: 3.5265 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [35/2000] Loss: 3.5200 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.06it/s]
Epoch: [35/2000] Loss: 3.5214 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [36/2000] Loss: 3.5170 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.04it/s]
Epoch: [36/2000] Loss: 3.5179 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]


Epoch: [37/2000] Loss: 3.5130 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.08it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [38/2000] Loss: 3.5106 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.08it/s]
Epoch: [39/2000] Loss: 3.5159 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:06,  3.33it/s]



Epoch: [39/2000] Loss: 3.5045 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  3.05it/s]
Epoch: [39/2000] Loss: 3.5066 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [40/2000] Loss: 3.4991 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.05it/s]
Epoch: [40/2000] Loss: 3.5039 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [41/2000] Loss: 3.5027 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.04it/s]
Epoch: [41/2000] Loss: 3.5015 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [42/2000] Loss: 3.4998 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.05it/s]
Epoch: [42/2000] Loss: 3.4993 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [43/2000] Loss: 3.4973 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.05it/s]
Epoch: [43/2000] Loss: 3.4963 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.08it/s]


Epoch: [44/2000] Loss: 3.4929 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [45/2000] Loss: 3.4903 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [46/2000] Loss: 3.4884 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
Epoch: [47/2000] Loss: 3.4908 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.18it/s]



Epoch: [47/2000] Loss: 3.4867 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  3.03it/s]
Epoch: [47/2000] Loss: 3.4856 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.07it/s]



Epoch: [48/2000] Loss: 3.4821 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.05it/s]
Epoch: [48/2000] Loss: 3.4841 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [49/2000] Loss: 3.4835 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.05it/s]
Epoch: [49/2000] Loss: 3.4823 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [50/2000] Loss: 3.4782 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.03it/s]
Epoch: [50/2000] Loss: 3.4792 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [51/2000] Loss: 3.4784 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.05it/s]
Epoch: [51/2000] Loss: 3.4777 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]


Epoch: [52/2000] Loss: 3.4766 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.07it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [53/2000] Loss: 3.4752 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
Epoch: [54/2000] Loss: 3.4526 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.22it/s]



Epoch: [54/2000] Loss: 3.4739 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
Epoch: [55/2000] Loss: 3.4586 Acc: 0.00%:   8%|████                                            | 2/24 [00:00<00:07,  3.12it/s]



Epoch: [55/2000] Loss: 3.4717 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
Epoch: [56/2000] Loss: 3.4783 Acc: 0.00%:   8%|████                                            | 2/24 [00:00<00:07,  3.11it/s]



Epoch: [56/2000] Loss: 3.4704 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.05it/s]
Epoch: [56/2000] Loss: 3.4708 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [57/2000] Loss: 3.4673 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.06it/s]
Epoch: [57/2000] Loss: 3.4688 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [58/2000] Loss: 3.4655 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.03it/s]
Epoch: [58/2000] Loss: 3.4669 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.08it/s]



Epoch: [59/2000] Loss: 3.4666 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.05it/s]
Epoch: [59/2000] Loss: 3.4659 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.08it/s]



Epoch: [60/2000] Loss: 3.4625 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.05it/s]
Epoch: [60/2000] Loss: 3.4657 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]


Epoch: [61/2000] Loss: 3.4645 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [62/2000] Loss: 3.4622 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [63/2000] Loss: 3.4618 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
Epoch: [64/2000] Loss: 3.4534 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.22it/s]



Epoch: [64/2000] Loss: 3.4581 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.07it/s]
Epoch: [64/2000] Loss: 3.4594 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [65/2000] Loss: 3.4577 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.05it/s]
Epoch: [65/2000] Loss: 3.4575 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [66/2000] Loss: 3.4575 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.05it/s]
Epoch: [66/2000] Loss: 3.4579 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [67/2000] Loss: 3.4540 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.05it/s]
Epoch: [67/2000] Loss: 3.4570 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [68/2000] Loss: 3.4552 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.05it/s]
Epoch: [68/2000] Loss: 3.4565 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.08it/s]


Epoch: [69/2000] Loss: 3.4546 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.07it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [70/2000] Loss: 3.4537 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
Epoch: [71/2000] Loss: 3.4621 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.22it/s]



Epoch: [71/2000] Loss: 3.4533 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.08it/s]
Epoch: [72/2000] Loss: 3.4254 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:06,  3.42it/s]



Epoch: [72/2000] Loss: 3.4513 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.05it/s]
Epoch: [72/2000] Loss: 3.4527 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [73/2000] Loss: 3.4508 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.05it/s]
Epoch: [73/2000] Loss: 3.4510 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [74/2000] Loss: 3.4488 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.05it/s]
Epoch: [74/2000] Loss: 3.4501 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [75/2000] Loss: 3.4465 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.05it/s]
Epoch: [75/2000] Loss: 3.4481 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [76/2000] Loss: 3.4479 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.05it/s]
Epoch: [76/2000] Loss: 3.4489 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]


Epoch: [77/2000] Loss: 3.4483 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [78/2000] Loss: 3.4469 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
Epoch: [79/2000] Loss: 3.4115 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.22it/s]



Epoch: [79/2000] Loss: 3.4455 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
Epoch: [80/2000] Loss: 3.4268 Acc: 0.00%:   8%|████                                            | 2/24 [00:00<00:07,  3.12it/s]



Epoch: [80/2000] Loss: 3.4417 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.05it/s]
Epoch: [80/2000] Loss: 3.4459 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [81/2000] Loss: 3.4441 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.01it/s]
Epoch: [81/2000] Loss: 3.4459 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.07it/s]



Epoch: [82/2000] Loss: 3.4459 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.05it/s]
Epoch: [82/2000] Loss: 3.4460 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.08it/s]



Epoch: [83/2000] Loss: 3.4433 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.05it/s]
Epoch: [83/2000] Loss: 3.4440 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]


Epoch: [84/2000] Loss: 3.4437 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]




Epoch: [85/2000] Loss: 3.4436 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.05it/s]
Epoch: [85/2000] Loss: 3.4437 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]


Epoch: [86/2000] Loss: 3.4426 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [87/2000] Loss: 3.4423 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
Epoch: [88/2000] Loss: 3.4434 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.22it/s]



Epoch: [88/2000] Loss: 3.4394 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  3.05it/s]
Epoch: [88/2000] Loss: 3.4417 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [89/2000] Loss: 3.4402 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.05it/s]
Epoch: [89/2000] Loss: 3.4417 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [90/2000] Loss: 3.4395 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.05it/s]
Epoch: [90/2000] Loss: 3.4406 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [91/2000] Loss: 3.4413 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.05it/s]
Epoch: [91/2000] Loss: 3.4396 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [92/2000] Loss: 3.4391 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.05it/s]
Epoch: [92/2000] Loss: 3.4398 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]


Epoch: [93/2000] Loss: 3.4387 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [94/2000] Loss: 3.4385 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



