



Epoch: [33/2000] Loss: 1.6418 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  2.93it/s]
Epoch: [33/2000] Loss: 1.6401 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [34/2000] Loss: 1.6385 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]
Epoch: [35/2000] Loss: 1.5751 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.19it/s]



Epoch: [35/2000] Loss: 1.6346 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]
Epoch: [36/2000] Loss: 1.5586 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.21it/s]



Epoch: [36/2000] Loss: 1.6342 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [37/2000] Loss: 1.6318 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [38/2000] Loss: 1.6302 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [39/2000] Loss: 1.6283 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [40/2000] Loss: 1.6300 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [41/2000] Loss: 1.6270 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [42/2000] Loss: 1.6260 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.99it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [43/2000] Loss: 1.6226 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [44/2000] Loss: 1.6221 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [45/2000] Loss: 1.6203 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.99it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [46/2000] Loss: 1.6182 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [47/2000] Loss: 1.6181 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]




Epoch: [48/2000] Loss: 1.6237 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.95it/s]
Epoch: [48/2000] Loss: 1.6175 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [49/2000] Loss: 1.6187 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [49/2000] Loss: 1.6161 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [50/2000] Loss: 1.6171 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.93it/s]
Epoch: [50/2000] Loss: 1.6150 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [51/2000] Loss: 1.6024 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.93it/s]
Epoch: [51/2000] Loss: 1.6141 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [52/2000] Loss: 1.6128 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.94it/s]
Epoch: [52/2000] Loss: 1.6162 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [53/2000] Loss: 1.6063 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.94it/s]
Epoch: [53/2000] Loss: 1.6104 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [54/2000] Loss: 1.6185 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.92it/s]
Epoch: [54/2000] Loss: 1.6099 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [55/2000] Loss: 1.6092 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.92it/s]
