



Epoch: [54/2000] Loss: 3.1715 Acc: 0.00%: 100%|█| 24/24 [00:07<00:00,  3.00it/s]



Epoch: [55/2000] Loss: 3.1656 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [55/2000] Loss: 3.1686 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [56/2000] Loss: 3.1665 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [56/2000] Loss: 3.1665 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [57/2000] Loss: 3.1664 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.96it/s]
Epoch: [57/2000] Loss: 3.1656 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [58/2000] Loss: 3.1632 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [58/2000] Loss: 3.1631 Acc: 0.00%: 100%|█| 24/24 [00:07<00:00,  3.00it/s]



Epoch: [59/2000] Loss: 3.1589 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.96it/s]
Epoch: [59/2000] Loss: 3.1618 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [60/2000] Loss: 3.1600 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [60/2000] Loss: 3.1613 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [61/2000] Loss: 3.1583 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.96it/s]
Epoch: [61/2000] Loss: 3.1610 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [62/2000] Loss: 3.1582 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [62/2000] Loss: 3.1579 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [63/2000] Loss: 3.1598 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [63/2000] Loss: 3.1588 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [64/2000] Loss: 3.1558 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [64/2000] Loss: 3.1559 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [65/2000] Loss: 3.1510 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [65/2000] Loss: 3.1560 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [66/2000] Loss: 3.1550 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.95it/s]
Epoch: [66/2000] Loss: 3.1555 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [67/2000] Loss: 3.1533 Acc: 0.00%:  79%|▊| 19/24 [00:06<00:01,  2.96it/s]
Epoch: [67/2000] Loss: 3.1539 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [68/2000] Loss: 3.1535 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.97it/s]
Epoch: [69/2000] Loss: 3.1261 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.17it/s]



Epoch: [69/2000] Loss: 3.1520 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.93it/s]
Epoch: [70/2000] Loss: 3.1349 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.16it/s]



Epoch: [70/2000] Loss: 3.1519 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
Epoch: [71/2000] Loss: 3.1512 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.15it/s]



Epoch: [71/2000] Loss: 3.1500 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
Epoch: [72/2000] Loss: 3.1554 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.21it/s]



Epoch: [72/2000] Loss: 3.1505 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
Epoch: [73/2000] Loss: 3.1285 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.15it/s]



Epoch: [73/2000] Loss: 3.1500 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
Epoch: [74/2000] Loss: 3.1363 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.14it/s]



Epoch: [74/2000] Loss: 3.1482 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
Epoch: [75/2000] Loss: 3.1488 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.15it/s]



Epoch: [75/2000] Loss: 3.1491 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
Epoch: [76/2000] Loss: 3.1493 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.20it/s]



Epoch: [76/2000] Loss: 3.1470 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
Epoch: [77/2000] Loss: 3.1611 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.14it/s]



Epoch: [77/2000] Loss: 3.1480 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
Epoch: [78/2000] Loss: 3.1478 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.15it/s]



Epoch: [78/2000] Loss: 3.1477 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
Epoch: [79/2000] Loss: 3.1723 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.13it/s]



Epoch: [79/2000] Loss: 3.1446 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
Epoch: [80/2000] Loss: 3.1525 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.14it/s]



Epoch: [80/2000] Loss: 3.1457 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
Epoch: [81/2000] Loss: 3.1357 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.21it/s]



Epoch: [81/2000] Loss: 3.1454 Acc: 0.00%: 100%|█| 24/24 [00:07<00:00,  3.00it/s]
Epoch: [82/2000] Loss: 3.1253 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.14it/s]



Epoch: [82/2000] Loss: 3.1446 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
Epoch: [83/2000] Loss: 3.1552 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.15it/s]



Epoch: [83/2000] Loss: 3.1447 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
Epoch: [84/2000] Loss: 3.1387 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.14it/s]



Epoch: [84/2000] Loss: 3.1431 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
Epoch: [85/2000] Loss: 3.1358 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.19it/s]



Epoch: [85/2000] Loss: 3.1564 Acc: 0.03%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
Epoch: [86/2000] Loss: 3.1201 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.15it/s]



Epoch: [86/2000] Loss: 3.1449 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
Epoch: [87/2000] Loss: 3.1720 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.17it/s]



Epoch: [87/2000] Loss: 3.1438 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
Epoch: [88/2000] Loss: 3.1451 Acc: 0.00%:   4%|  | 1/24 [00:00<00:07,  3.14it/s]



Epoch: [88/2000] Loss: 3.1413 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [89/2000] Loss: 3.1411 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [90/2000] Loss: 3.1409 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [91/2000] Loss: 3.1412 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [92/2000] Loss: 3.1414 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [93/2000] Loss: 3.1404 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [94/2000] Loss: 3.1385 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [95/2000] Loss: 3.1392 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [96/2000] Loss: 3.1384 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [97/2000] Loss: 3.1372 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [98/2000] Loss: 3.1390 Acc: 0.00%: 100%|█| 24/24 [00:08<00:00,  3.00it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [99/2000] Loss: 3.1374 Acc: 0.03%: 100%|█| 24/24 [00:08<00:00,  2.99it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]
Epoch: [100/2000] Loss: 3.1236 Acc: 0.00%:  25%|▎| 6/24 [00:02<00:06,  2.96it/s]
Epoch: [100/2000] Loss: 3.1321 Acc: 0.07%:  50%|▌| 12/24 [00:04<00:04,  2.95it/s
Epoch: [100/2000] Loss: 3.1359 Acc: 0.04%:  75%|▊| 18/24 [00:06<00:02,  2.94it/s
  0%|                                                    | 0/24 [00:00<?, ?it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]
Epoch: [101/2000] Loss: 3.1265 Acc: 0.00%:  25%|▎| 6/24 [00:02<00:06,  2.96it/s]
Epoch: [101/2000] Loss: 3.1328 Acc: 0.00%:  50%|▌| 12/24 [00:04<00:04,  2.95it/s
Epoch: [101/2000] Loss: 3.1365 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.95it/s
  0%|                                                    | 0/24 [00:00<?, ?it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]
Epoch: [102/2000] Loss: 3.1324 Acc: 0.00%:  25%|▎| 6/24 [00:02<00:06,  2.96it/s]
